iter	Passed	Remaining
0	9	7586
1	16	6768
2	22	6157
3	28	5837
4	34	5641
5	40	5494
6	46	5383
7	52	5305
8	58	5227
9	63	5176
10	70	5162
11	75	5109
12	81	5069
13	87	5038
14	94	5048
15	99	5020
16	105	4992
17	111	4970
18	117	4951
19	123	4938
20	129	4922
21	135	4906
22	141	4896
23	147	4886
24	153	4873
25	159	4863
26	165	4858
27	171	4848
28	177	4843
29	183	4830
30	189	4812
31	194	4800
32	200	4787
33	206	4776
34	212	4764
35	218	4758
36	224	4751
37	230	4742
38	236	4732
39	242	4723
40	248	4714
41	253	4704
42	259	4696
43	265	4685
44	271	4677
45	277	4668
46	283	4660
47	289	4652
48	295	4644
49	300	4635
50	306	4625
51	312	4617
52	318	4609
53	324	4601
54	330	4592
55	336	4584
56	341	4576
57	347	4566
58	353	4559
59	359	4553
60	365	4545
61	371	4537
62	376	4529
63	382	4521
64	388	4518
65	394	4510
66	400	4505
67	407	4501
68	412	4493
69	418	4485
70	424	4478
71	430	4469
72	436	4461
73	441	4455
74	447	4446
75	453	4439
76	459	4433
77	465	4425
78	470	4417
79	476	4409
80	482	4401
81	488	4394
82	494	4387
83	500	4382
84	505	4374
85	511	4367
86	517	4360
87	523	4353
88	529	4346
89	535	4339
90	540	4332
91	546	4325
92	552	4319
93	558	4311
94	564	4305
95	570	4298
96	575	4292
97	581	4285
98	587	4280
99	593	4273
100	599	4266
101	605	4259
102	610	4253
103	616	4246
104	622	4239
105	628	4234
106	634	4228
107	640	4222
108	646	4215
109	652	4210
110	658	4204
111	664	4199
112	670	4192
113	676	4187
114	682	4181
115	688	4176
116	694	4171
117	700	4165
118	706	4159
119	712	4153
120	717	4147
121	724	4142
122	730	4137
123	735	4130
124	742	4125
125	748	4120
126	754	4114
127	760	4108
128	765	4102
129	771	4096
130	777	4090
131	783	4084
132	789	4078
133	795	4071
134	801	4065
135	807	4059
136	813	4054
137	819	4048
138	825	4042
139	830	4035
140	836	4029
141	842	4023
142	848	4017
143	854	4011
144	860	4005
145	866	3998
146	872	3992
147	878	3986
148	883	3980
149	889	3973
150	895	3966
151	901	3960
152	907	3954
153	913	3948
154	919	3943
155	925	3937
156	931	3933
157	937	3926
158	943	3920
159	949	3915
160	955	3910
161	961	3904
162	967	3900
163	973	3894
164	979	3888
165	985	3883
166	991	3877
167	997	3872
168	1003	3867
169	1009	3861
170	1016	3856
171	1026	3866
172	1036	3874
173	1043	3874
174	1052	3880
175	1059	3876
176	1066	3873
177	1072	3868
178	1078	3862
179	1084	3857
180	1091	3851
181	1096	3845
182	1102	3838
183	1108	3832
184	1114	3825
185	1120	3818
186	1126	3812
187	1134	3812
188	1141	3810
