iter	Passed	Remaining
0	0	307
1	1	280
2	2	265
3	3	255
4	4	253
5	4	247
6	5	247
7	6	240
8	7	251
9	8	275
10	9	272
11	10	271
12	11	274
13	12	273
14	13	268
15	14	265
16	14	262
17	15	259
18	16	253
19	16	249
20	17	248
21	18	246
22	19	243
23	19	240
24	20	238
25	21	235
26	21	233
27	22	230
28	23	229
29	23	227
30	24	225
31	25	224
32	25	222
33	26	220
34	27	218
35	27	218
36	28	218
37	29	217
38	30	216
39	31	215
40	31	214
41	32	212
42	33	211
43	33	209
44	34	210
45	35	211
46	37	215
47	38	215
48	39	214
49	40	213
50	40	212
51	41	211
52	42	210
53	42	209
54	43	208
55	44	207
56	45	206
57	46	206
58	47	205
59	47	204
60	48	204
61	49	203
62	50	203
63	51	202
64	51	201
65	52	201
66	53	201
67	54	199
68	55	198
69	55	197
70	56	196
71	57	196
72	58	195
73	59	194
74	59	193
75	60	192
76	61	191
77	62	190
78	63	190
79	63	188
80	64	188
81	65	188
82	66	188
83	67	187
84	68	186
85	69	186
86	70	185
87	70	184
88	71	183
89	72	182
90	73	182
91	74	181
92	75	180
93	75	179
94	76	178
95	77	178
96	78	177
97	79	177
98	80	176
99	81	175
100	81	174
101	82	173
102	83	172
103	83	171
104	84	171
105	85	170
106	86	169
107	87	168
108	87	167
109	88	166
110	89	165
111	90	165
112	91	164
113	91	163
114	92	162
115	93	161
116	94	161
117	95	160
118	96	159
119	96	159
120	97	158
121	98	157
122	99	156
123	100	155
124	101	155
125	101	154
126	102	153
127	103	152
128	103	151
129	104	150
130	105	149
131	106	149
132	107	148
133	108	147
134	108	146
135	109	145
136	110	144
137	111	144
138	111	143
139	112	142
140	113	141
141	114	140
142	115	139
143	115	139
144	116	138
145	117	137
146	118	136
147	119	136
148	119	135
149	120	134
150	121	133
151	122	132
152	123	131
153	123	131
154	124	130
155	125	129
156	126	128
157	127	127
158	127	127
159	128	126
160	129	125
161	130	124
162	130	123
163	131	122
164	132	121
165	132	120
166	133	120
167	134	119
168	135	118
169	136	117
170	136	116
171	137	116
172	138	115
173	138	114
174	139	113
175	140	112
176	141	111
177	142	111
178	142	110
179	143	109
180	144	108
181	145	107
182	146	107
183	146	106
184	147	105
185	148	104
186	149	103
187	150	102
188	150	102
189	151	101
190	152	100
191	152	99
192	153	98
193	154	97
194	155	97
195	155	96
196	156	95
197	157	94
198	158	93
199	159	93
200	159	92
201	160	91
202	161	90
203	162	89
204	163	89
205	163	88
206	164	87
207	165	86
208	166	85
209	166	84
210	167	84
211	168	83
212	168	82
213	169	81
214	170	80
215	171	80
216	171	79
217	172	78
218	173	77
219	173	76
220	174	75
221	175	75
222	176	74
223	177	73
224	178	72
225	178	71
226	179	71
227	180	70
228	180	69
229	181	68
230	182	67
231	183	67
232	183	66
233	184	65
234	184	64
235	185	63
236	186	62
237	187	62
238	187	61
239	188	60
240	189	59
241	190	58
242	190	58
243	191	57
244	192	56
245	193	55
246	193	54
247	194	54
248	195	53
249	196	52
250	197	51
251	197	51
252	198	50
253	199	49
254	200	48
255	200	47
256	201	47
257	202	46
258	202	45
259	203	44
260	204	43
261	205	43
262	205	42
263	206	41
264	207	40
265	207	39
266	208	39
267	209	38
268	210	37
269	210	36
270	211	35
271	212	35
272	212	34
273	213	33
274	214	32
275	215	32
276	216	31
277	216	30
278	217	29
279	218	28
280	218	28
281	219	27
282	220	26
283	220	25
284	221	24
285	223	24
286	223	23
287	224	22
288	225	21
289	225	21
290	226	20
291	227	19
292	228	18
293	228	17
294	229	17
295	230	16
296	231	15
297	231	14
298	232	14
299	233	13
300	234	12
301	234	11
302	235	10
303	236	10
304	236	9
305	237	8
306	238	7
307	239	6
308	239	6
309	240	5
310	241	4
311	241	3
312	242	3
313	243	2
314	244	1
315	244	0
316	245	0
