iter	Passed	Remaining
0	9	4512
1	18	4507
2	27	4528
3	36	4562
4	50	4951
5	59	4909
6	64	4559
7	69	4288
8	74	4075
9	79	3900
10	84	3759
11	89	3638
12	94	3536
13	99	3441
14	103	3361
15	108	3290
16	113	3232
17	118	3179
18	123	3132
19	128	3090
20	133	3047
21	138	3008
22	143	2976
23	148	2943
24	153	2908
25	157	2876
26	162	2848
27	167	2822
28	172	2793
29	177	2774
30	181	2751
31	186	2730
32	191	2710
33	196	2692
34	201	2674
35	206	2658
36	211	2643
37	215	2622
38	220	2608
39	225	2593
40	230	2579
41	235	2566
42	240	2554
43	245	2541
44	250	2530
45	255	2519
46	260	2507
47	264	2495
48	269	2484
49	274	2474
50	279	2462
51	284	2452
52	289	2442
53	295	2437
54	299	2426
55	304	2416
56	309	2406
57	315	2402
58	320	2392
59	324	2382
60	330	2375
61	334	2364
62	339	2356
63	345	2351
64	349	2342
65	355	2334
66	360	2327
67	365	2319
68	370	2311
69	375	2305
70	380	2298
71	385	2290
72	390	2281
73	395	2276
74	398	2257
75	403	2252
76	408	2245
77	413	2238
78	418	2231
79	423	2223
80	428	2217
81	433	2211
82	438	2205
83	444	2200
84	449	2195
85	454	2187
86	459	2179
87	464	2173
88	469	2167
89	474	2163
90	480	2157
91	485	2151
92	490	2145
93	495	2138
94	499	2130
95	504	2124
96	509	2118
97	514	2111
98	519	2103
99	524	2097
100	529	2092
101	534	2086
102	539	2079
103	544	2074
104	549	2067
105	554	2061
106	559	2053
107	564	2047
108	569	2041
109	573	2033
110	578	2026
111	582	2019
112	587	2011
113	591	2004
114	596	1997
115	601	1990
116	605	1982
117	610	1976
118	615	1970
119	620	1964
120	625	1958
121	629	1951
122	634	1945
123	639	1939
124	644	1933
125	649	1927
126	654	1921
127	659	1915
128	663	1909
129	668	1903
130	673	1897
131	678	1890
132	683	1885
133	687	1879
134	692	1873
135	697	1867
136	702	1861
137	707	1855
138	712	1849
139	717	1844
140	722	1839
141	727	1832
142	731	1826
143	736	1821
144	741	1814
145	746	1809
146	751	1803
147	756	1798
148	760	1792
149	765	1786
150	770	1781
151	775	1776
152	780	1770
153	785	1764
154	790	1759
155	795	1753
156	800	1748
157	804	1742
158	810	1737
159	815	1732
160	820	1727
161	825	1721
162	829	1715
163	834	1710
164	839	1704
165	844	1699
166	849	1694
167	854	1689
168	859	1683
169	864	1678
170	869	1673
171	874	1668
172	879	1663
173	884	1657
174	889	1652
175	894	1646
176	899	1641
177	904	1636
178	909	1630
179	914	1625
180	919	1619
181	924	1614
182	929	1609
183	934	1604
184	939	1599
185	944	1594
186	949	1588
187	954	1583
188	958	1577
189	964	1573
190	969	1567
191	974	1562
192	979	1557
193	983	1551
194	988	1546
195	993	1541
196	998	1535
197	1003	1531
198	1008	1525
199	1013	1520
200	1018	1515
201	1023	1510
202	1028	1505
203	1033	1499
204	1038	1494
205	1043	1489
206	1048	1483
207	1053	1478
208	1058	1473
209	1064	1469
210	1068	1464
211	1073	1458
212	1078	1453
213	1083	1448
214	1088	1443
215	1093	1437
216	1098	1432
217	1103	1427
218	1108	1422
219	1113	1416
220	1118	1411
221	1123	1406
222	1128	1401
223	1132	1395
224	1137	1390
225	1142	1385
226	1147	1380
227	1152	1374
228	1157	1369
229	1162	1364
230	1166	1358
231	1172	1353
232	1177	1348
233	1182	1343
234	1186	1338
235	1191	1333
236	1196	1327
237	1201	1322
238	1206	1317
239	1211	1312
240	1216	1307
241	1221	1302
242	1226	1297
243	1231	1291
244	1236	1286
245	1240	1281
246	1245	1276
247	1250	1271
248	1255	1265
249	1260	1260
250	1265	1255
251	1270	1250
252	1275	1245
253	1280	1239
254	1285	1234
255	1290	1229
256	1294	1224
257	1300	1219
258	1304	1214
259	1309	1209
260	1314	1203
261	1319	1198
262	1324	1193
263	1329	1188
264	1334	1183
265	1339	1178
266	1344	1173
267	1349	1168
268	1354	1163
269	1360	1158
270	1365	1153
271	1369	1148
272	1375	1143
273	1380	1138
274	1385	1133
275	1389	1128
276	1394	1122
277	1399	1117
278	1404	1112
279	1409	1107
280	1414	1102
281	1419	1097
282	1424	1092
283	1429	1087
284	1434	1082
285	1439	1077
286	1444	1071
287	1448	1066
288	1453	1061
289	1459	1056
290	1464	1051
291	1468	1046
292	1473	1041
293	1478	1036
294	1483	1031
295	1488	1026
296	1494	1021
297	1499	1016
298	1504	1011
299	1509	1006
300	1514	1001
301	1520	996
302	1524	991
303	1529	986
304	1534	981
305	1539	976
306	1544	970
307	1549	965
308	1553	960
309	1558	955
310	1563	950
311	1568	944
312	1573	940
313	1578	935
314	1583	930
315	1588	924
316	1593	919
317	1598	914
318	1603	909
319	1608	904
320	1613	899
321	1618	894
322	1622	889
323	1627	884
